0.21429,-0.09524,0.33333,0.07143,0.19048,g
1,-0.14754,1,0.04918,0.57377,b
0.98182,0,0.88627,0.03131,0.86249,g
0.39286,0.52381,-0.78824,0.11342,-0.16628,b
0.86889,-0.07111,1,-0.02494,1,g
0.43636,-0.12727,0.58182,-0.14545,0.18182,b
1,-0.92453,1,0.75472,0.49057,g
0.7381,0.83333,-0.7619,-0.2381,0.33333,b
0.4375,0.04167,0.58333,-0.10417,0.39583,g
1,1,0,0,0,b
0.95217,0.06595,0.93614,0.1303,0.90996,g
0.5984,0.40332,0.82809,0.80521,0.76001,b
0.95882,0.10129,1,-0.01918,0.98313,g
0,0,-0.33672,0.85388,0,b
0.96933,0.00876,1,0.00843,0.98658,g
0,0,0.98919,-0.22703,0.18919,b
0.64122,0.01403,0.34146,-0.02439,0.52751,g
1,1,1,-1,0,b
0.34694,0.20408,0.46939,0.2449,0.40816,g
0,0,1,-1,0,b
0.89706,0.38235,0.91176,0.375,0.74265,g
-1,0.28105,0.22222,0.15033,-0.75693,b
0.26667,-0.1,0.53333,0,0.33333,g
-0.26667,0.4,-0.27303,0.12159,-0.17778,b
1,-0.37838,0.64865,0.2973,0.64865,g
0.94531,-0.03516,-1,-0.33203,-1,b
0.95202,0.02254,0.93757,-0.01272,0.93526,g
1,-0.05529,1,-1,0.5,b
0.31034,-0.10345,0.24138,-0.10345,0.2069,g
0.62745,-0.07843,0.72549,0,0.60784,b
0.25,0.16667,0.46667,0.26667,0.19036,g
-0.65625,0.15625,0.0625,0,0,b
1,-0.01081,1,-0.02703,1,g
0.85271,0.05426,1,0.08069,1,b
0.90374,-0.01604,1,0.08021,1,g
-0.205,0.2875,0.23,0.1,0.2825,b
0.6,0.03333,0.63333,0.06667,0.7,g
0.05866,-0.00838,0.06704,0.00838,0,b
0.94653,0.28713,0.72554,0.67248,0.47564,g
0.0546,0.01437,-0.02586,0.04598,0.01437,b
0.72414,-0.01084,0.79704,0.01084,0.8,g
0.03852,0.02568,0.00428,0,0.01997,b
0.4709,0.22751,0.42328,0.33598,0.25661,g
0.08696,0.00686,0.13959,-0.04119,0.10526,b
0.94333,0.38574,0.48263,0.64534,0.21572,g
0.01975,0.00705,0.0409,-0.00846,0.02116,b
0.85736,0.00075,0.81927,-0.05676,0.77521,g
1,-1,1,1,-1,b
0.85209,0.39252,0.38887,0.76432,0.08858,g
1,1,1,0.5125,0.625,b
1,0.54902,0.62745,1,0.01961,g
0,0,-1,-1,-1,b
0.44444,0.44444,0.53695,0.90763,-0.22222,g
0,0,0,0,0,b
1,0,1,0,0.5,g
-1,1,1,1,0,b
1,0,1,0,0.66667,g
0,0,0,0,0,b
1,0.45455,1,-0.45455,1,g
0.62121,-0.63636,0,0,0,b
1,0.11765,1,0.23529,1,g
0,0,-1,-0.62766,1,b
0.91667,0.29167,0.83333,-0.16667,0.70833,g
0.1859,-0.16667,0,0,0,b
1,-0.08183,1,-0.11326,0.99246,g
1,1,-1,1,-1,b
1,0.24077,0.99815,0.00369,0.80244,g
-1,1,1,-1,0,b
0.92247,-0.19448,0.96419,-0.17674,0.87024,g
-1,-1,-0.50694,1,1,b
0.84177,0.4346,0.5,0.7616,0.09916,g
1,1,0,0,1,b
1,0.63548,1,1,0.77123,g
-1,1,-1,-1,0,b
1,0.06843,1,0.14211,1,g
-1,-1,0,0,0,b
0.64947,-0.07896,0.58264,-0.1438,-0.13129,g
0,0,0,0,0,b
1,0.05149,0.99363,0.10123,0.96142,g
1,-0.09524,-1,-1,-1,b
0.93669,-0.0019,0.60761,0.43204,0.92314,g
1,-1,1,1,1,b
1,0.23058,1,-0.78509,1,g
0.36876,-1,-1,-1,-0.07661,b
0.79847,0.38265,0.80804,-0.16964,1,g
0,0,0,0,0,b
1,-0.28428,1,-0.25346,0.94623,g
0,0,0,0,0,b
1,0.09091,0.95455,-0.09091,0.77273,g
0,0,-1,1,1,b
0.91176,-0.08824,0.97059,0.17647,0.82353,g
-1,1,-1,0.15244,0.28354,b
0.47368,-0.10526,0.83781,0.01756,0.83155,g
-0.00641,-0.5,0,0,-0.01923,b
1,0.45455,1,0.54545,0.81818,g
-1,-1,1,-1,-1,b
0.45455,0.09091,0.63636,0.09091,0.27273,g
-1,-0.59677,0,0,-1,b
1,0.14286,1,0.71429,1,g
1,1,1,-1,1,b
0.87032,0.46972,0.53945,0.82161,0.1038,g
1,-1,1,1,1,b
0.92657,0.04174,0.89266,0.15766,0.86098,g
1,1,1,-1,1,b
0.93537,0.13645,0.93716,0.25359,0.85705,g
1,-1,-1,1,-1,b
0.80627,0.13069,0.73061,0.24323,0.64615,g
1,-1,1,1,1,b
0.97467,0.13082,0.9412,0.20036,0.88783,g
0,0,1,1,0,b
0.92308,0.15451,0.86399,0.29757,0.72582,g
0,0,1,1,1,b
0.88804,0.38138,0.65926,0.69431,0.29148,g
1,-1,1,1,1,b
0.73523,-0.38293,0.80151,0.10278,0.78826,g
0,0,0,0,0,b
0.94649,0.00892,0.97287,-0.0026,0.98922,g
1,1,-1,-1,-1,b
0.50466,-0.169,0.71442,0.01513,0.71063,g
0.68729,1,0.91973,-0.76087,0.81773,b
0.76296,-0.07778,1,-0.2963,1,g
0.38521,0.15564,0.41245,0.07393,0.26459,b
0.5754,-0.03175,0.75198,-0.05357,0.61508,g
0.06404,-0.15271,-0.04433,0.05911,0.08374,b
0.61857,0.1085,0.70694,-0.06935,0.70358,g
0.25316,0.35949,0,0,-0.2962,b
0.88103,-0.00857,0.89818,-0.02465,0.94105,g
0.42708,-0.5,0,0,0,b
0.88853,0.01631,0.92007,0.01305,0.92442,g
0,0,1,0.12889,0.88444,b
0.81143,0.03714,0.85143,-0.00143,0.79,g
0,0,0,0,0,b
0.4987,0.01818,0.43117,-0.0961,0.50649,g
0,0,0,0,0,b
1,0.5,1,0.25,0.25,g
0,0,0,0,1,b
0.87048,0.38027,0.64099,0.69212,0.31347,g
0,0,0,0,0,b
0.88179,0.43491,0.59573,0.77655,0.19672,g
0.32834,0.0252,0.15236,0.21278,0.14919,g
0.83427,0.39121,0.5404,0.78579,0.12326,g
0.62335,-0.0349,0.59085,0.00481,0.60409,g
0.74449,-0.0239,0.70772,0.03309,0.72243,g
0.61538,0.18923,0.78157,0.0178,0.77486,g
0.68317,0.05375,0.84803,0.00202,0.84341,g
0.5,0,0.38696,0.10435,0.4913,g
0.7983,0.09417,0.78129,0.20656,0.71628,g
1,0.09802,1,0.25101,0.9839,g
0.8941,0.13425,0.87001,0.31543,0.78896,g
0.94631,0.17498,0.90946,0.33143,0.85096,g
0.91767,0.18198,0.8609,0.35543,0.72873,g
0.76627,0.21106,0.63935,0.38112,0.48409,g
0.5894,-0.60927,0.8543,0.55298,0.81126,g
1,0.11385,0.70019,-0.12144,0.81594,g
0.84843,0.06794,0.80562,-0.02299,0.77031,g
1,0.08013,0.96775,-0.00482,0.96683,g
0.47938,-0.12371,0.42784,-0.12371,0.70103,g
0.6351,-0.04388,0.7653,0.02968,0.61432,g
0.50112,-0.03596,0.61124,0.01348,0.58876,g
0.71521,-0.00647,0.66667,-0.04207,0.63107,g
0.68148,0.1037,0.77037,0.03457,0.65185,g
0.60678,-0.02712,0.67119,0.04068,0.52881,g
0.49515,0.09709,0.29612,0.05825,0.34951,g
0.98822,0.02187,0.93102,0.341,0.83904,g
0.97905,0.1581,0.90112,0.35237,0.82039,g
0.99701,0.21677,0.91966,0.4703,0.76902,g
0.94331,0.19959,0.96132,0.40803,0.80514,g
0.93972,0.28082,0.80486,0.52821,0.58167,g
0.89835,0.35157,0.67333,0.62233,0.43898,g
0.29073,0.10025,0.23308,0.17293,0.03759,g
0.58459,-0.35526,1,0.35338,0.75376,g
0.83609,0.13215,0.72171,0.06059,0.65829,g
0.9408,0.11933,0.85738,0.01038,0.85124,g
0.87111,0.04326,0.79946,0.18297,0.99009,g
0.74916,0.02549,0.98994,0.09792,0.75855,g
0.47337,0.19527,0.06213,-0.18343,0.62316,g
0.59887,0.14689,0.69868,-0.13936,0.85122,g
0.84713,-0.03397,0.86412,-0.08493,0.81953,g
0.87772,-0.08152,0.83424,0.07337,0.84783,g
0.74704,-0.13241,0.53755,0.16996,0.72727,g
0.46785,0.11308,0.5898,0.00665,0.55432,g
0.88116,0.27475,0.72125,0.42881,0.61559,g
0.93147,0.29282,0.79917,0.55756,0.59952,g
0.88241,0.30634,0.73232,0.57816,0.34109,g
0.83479,0.28993,0.69256,0.47702,0.49234,g
0.9287,0.33164,0.76168,0.62349,0.49305,g
0.83367,0.31456,0.65541,0.57671,0.34962,g
0.98455,-0.02736,0.98058,-0.04104,1,g
0.94052,-0.01531,0.9417,0.01001,0.94994,g
0.97032,-0.14384,0.91324,-0.00228,0.96575,g
0.52542,-0.0339,0.94915,0.08475,0.52542,g
0.33333,-0.25,0.44444,0.22222,0.38889,g
0.51207,1,1,0.5381,0.71178,g
0.75564,0.49638,0.8355,0.54301,0.54916,g
0.83789,0.42904,0.72113,0.58385,0.45625,g
0.93658,0.35107,0.75254,0.6564,0.45571,g
0.92436,0.36924,0.71976,0.6842,0.29303,g
1,0.16195,1,-0.05558,1,g
0.95559,-0.00155,0.86421,-0.13244,0.94982,g
0.79378,0.29492,0.64064,0.52312,0.41319,g
0.88085,0.35232,0.68389,0.65128,0.34816,g
0.89589,0.39286,0.66129,0.71804,0.29521,g
1,-0.24051,1,-0.20253,0.87342,g
0.7479,0.0084,0.83312,0.01659,0.82638,g
0.85013,0.01809,0.92211,0.01456,0.92046,g
1,-0.01179,1,-0.00343,1,g
0.89505,-0.03168,0.87525,0.05545,0.89505,g
0.90071,0.01773,1,-0.01773,0.90071,g
0.39394,-0.24242,0.62655,0.0127,0.45455,g
0.86689,0.3595,0.72014,0.66667,0.37201,g
0.89563,0.37917,0.67311,0.69438,0.35916,g
0.90547,0.41113,0.65354,0.74761,0.29921,g
1,1,0.367,0.06158,0.12993,g
1,0.51515,0.45455,0.33333,0.06061,g
0.8811,0,0.94817,-0.02744,0.93598,g
0.82624,0.08156,0.79078,-0.08156,0.90426,g
0.74468,0.10638,0.88706,0.00982,0.88542,g
0.87578,0.03727,0.89951,0.00343,0.8921,g
0.97513,0.0071,0.98579,0.01954,1,g
1,0.01105,1,0.01105,1,g
1,-0.01342,1,0.01566,1,g
0.8842,0.36724,0.67123,0.67382,0.39613,g
0.90147,0.41786,0.64131,0.75725,0.3044,g
0.32789,0.11042,0.1597,0.29308,0.1402,g
0.65845,0.43617,0.44681,0.74804,0.05319,g
0.19466,0.05725,0.04198,0.25191,-0.10557,g
0.98002,0.00075,1,0,0.98982,g
0.82254,-0.07572,0.80462,0.00231,0.87514,g
0.35346,-0.13768,0.69387,-0.02423,0.68195,g
0.76046,0.01092,0.86335,0.00258,0.85821,g
0.66667,-0.01366,0.97404,0.06831,0.4959,g
0.83508,0.08298,0.73739,-0.14706,0.84349,g
0.95113,0.00419,0.95183,-0.02723,0.93438,g
0.94701,-0.00034,0.93207,-0.03227,0.95177,g
0.90608,-0.01657,0.98122,-0.01989,0.95691,g
0.8471,0.13533,0.73638,-0.06151,0.87873,g
